Vendor Number,Category Name,Date,Sale (Dollars)
420,IMPORTED BRANDIES,03/22/2023,21289.65
625,AMERICAN DISTILLED SPIRITS SPECIALTY,03/07/2023,598.50
259,STRAIGHT BOURBON WHISKIES,06/06/2023,16094.88
205,AMERICAN DRY GINS,09/06/2023,1766.65
259,AMERICAN FLAVORED VODKA,02/13/2023,5229.96
273,AMERICAN VODKAS,10/23/2023,22.50
521,AMERICAN VODKAS,06/14/2023,324.48
266,STRAIGHT BOURBON WHISKIES,09/01/2023,224.04
391,SINGLE MALT SCOTCH,02/01/2023,1266.96
154,BLENDED WHISKIES,08/30/2023,709.28
100,IMPORTED DISTILLED SPIRITS SPECIALTY,09/09/2023,100.76
305,IMPORTED VODKAS,03/13/2023,2126.34
454,WHISKEY LIQUEUR,01/04/2023,1010.97
389,IMPORTED CORDIALS & LIQUEURS,06/16/2023,166.59
380,SINGLE MALT SCOTCH,10/18/2023,303.75
085,TENNESSEE WHISKIES,06/30/2023,60515.08
370,SCOTCH WHISKIES,03/03/2023,191.85
205,WHITE RUM,10/26/2023,26.98
255,STRAIGHT RYE WHISKIES,08/25/2023,4887.66
421,AMERICAN VODKAS,03/03/2023,37901.88
654,BLENDED WHISKIES,10/11/2023,787.50
962,IMPORTED BRANDIES,09/05/2023,157.50
154,BLENDED WHISKIES,07/06/2023,1606.22
035,IMPORTED FLAVORED VODKA,08/01/2023,45.00
888,AMERICAN VODKAS,04/18/2023,76.50
342,IMPORTED CORDIALS & LIQUEURS,02/21/2023,49.50
395,MIXTO TEQUILA,04/12/2023,39942.45
035,IMPORTED DRY GINS,03/08/2023,9665.88
325,STRAIGHT RYE WHISKIES,10/16/2023,225.00
927,IMPORTED DISTILLED SPIRITS SPECIALTY,10/02/2023,130.50
260,TENNESSEE WHISKIES,10/23/2023,111.70
205,CREAM LIQUEURS,08/30/2023,10193.17
370,FLAVORED GIN,03/08/2023,470.66
619,AGED DARK RUM,05/31/2023,423.00
065,AMERICAN SCHNAPPS,06/28/2023,14509.97
772,IRISH WHISKIES,06/23/2023,315.00
472,100% AGAVE TEQUILA,09/29/2023,2030.14
370,AMERICAN DISTILLED SPIRITS SPECIALTY,10/09/2023,6216.00
370,FLAVORED GIN,01/13/2023,659.45
240,100% AGAVE TEQUILA,07/13/2023,2101.50
125,BLENDED WHISKIES,10/02/2023,552.06
654,AMERICAN VODKAS,05/11/2023,243.00
205,IMPORTED CORDIALS & LIQUEURS,06/19/2023,189.00
260,SPECIAL ORDER ITEMS,08/11/2023,1078.56
205,AMERICAN DRY GINS,06/30/2023,2167.50
380,AMERICAN SCHNAPPS,09/06/2023,531.75
740,100% AGAVE TEQUILA,08/10/2023,78.76
085,BOTTLED IN BOND BOURBON,10/30/2023,715.50
395,STRAIGHT BOURBON WHISKIES,08/14/2023,44.76
434,AMERICAN VODKAS,09/25/2023,11002.20
777,AMERICAN VODKAS,05/22/2023,7730.48
255,BLENDED WHISKIES,01/25/2023,3633.20
301,AMERICAN VODKAS,06/28/2023,234838.01
661,CREAM LIQUEURS,01/09/2023,138.54
208,AMERICAN DISTILLED SPIRITS SPECIALTY,06/19/2023,24.00
380,AMERICAN DRY GINS,09/08/2023,371.34
259,CREAM LIQUEURS,10/03/2023,597.00
325,AMERICAN FLAVORED VODKA,07/05/2023,1529.82
566,AMERICAN VODKAS,01/11/2023,615.58
260,IMPORTED FLAVORED VODKA,06/03/2023,2951.26
085,BOTTLED IN BOND BOURBON,05/22/2023,224.94
240,IMPORTED VODKAS,04/12/2023,180.00
421,IMPORTED VODKAS,08/23/2023,7197.67
370,BLENDED WHISKIES,03/20/2023,26.99
391,BLENDED WHISKIES,06/14/2023,279.56
421,GOLD RUM,02/07/2023,117.00
301,AMERICAN VODKAS,08/04/2023,249740.36
154,BLENDED WHISKIES,01/24/2023,572.04
305,IRISH WHISKIES,06/07/2023,1410.00
353,IMPORTED DISTILLED SPIRITS SPECIALTY,03/08/2023,522.24
370,IRISH WHISKIES,10/09/2023,41296.77
301,AMERICAN VODKAS,04/06/2023,120021.42
434,CANADIAN WHISKIES,04/14/2023,1342.59
065,IMPORTED DRY GINS,08/07/2023,670.20
240,SPICED RUM,09/19/2023,978.12
370,SINGLE MALT SCOTCH,01/12/2023,3502.53
259,CREAM LIQUEURS,07/18/2023,413.25
205,AMERICAN FLAVORED VODKA,01/11/2023,9196.85
125,AMERICAN DRY GINS,06/26/2023,166.05
260,CANADIAN WHISKIES,07/12/2023,131866.96
395,IMPORTED FLAVORED VODKA,09/27/2023,14.94
125,TEMPORARY & SPECIALTY PACKAGES,02/10/2023,127.02
421,IMPORTED CORDIALS & LIQUEURS,03/13/2023,13522.81
370,COCKTAILS/RTD,08/29/2023,275.80
434,SPICED RUM,07/17/2023,501.82
434,TEMPORARY & SPECIALTY PACKAGES,04/21/2023,4455.50
259,AMERICAN BRANDIES,07/18/2023,3829.22
325,STRAIGHT BOURBON WHISKIES,06/19/2023,180.00
380,CREAM LIQUEURS,10/10/2023,254.88
205,SINGLE BARREL BOURBON WHISKIES,10/11/2023,187.50
384,NEUTRAL GRAIN SPIRITS,03/15/2023,103.50
283,IMPORTED BRANDIES,10/04/2023,112.50
240,SCOTCH WHISKIES,05/25/2023,1045.07
421,STRAIGHT BOURBON WHISKIES,09/04/2023,135.00
558,IMPORTED DRY GINS,04/13/2023,168.06
085,AGED DARK RUM,10/03/2023,33.75
266,GOLD RUM,03/13/2023,48.75
259,AMERICAN BRANDIES,01/30/2023,2979.56
380,CREAM LIQUEURS,10/04/2023,382.32
370,TEMPORARY & SPECIALTY PACKAGES,01/08/2023,265.35
370,IMPORTED VODKAS,10/31/2023,13206.48
116,AMERICAN DISTILLED SPIRITS SPECIALTY,05/02/2023,37.50
978,STRAIGHT BOURBON WHISKIES,03/23/2023,340.08
492,STRAIGHT BOURBON WHISKIES,08/08/2023,305.22
434,COCKTAILS/RTD,01/23/2023,198.12
370,COFFEE LIQUEURS,10/25/2023,5993.31
240,IRISH WHISKIES,09/13/2023,341.25
421,MEZCAL,01/12/2023,517.14
421,BOTTLED IN BOND BOURBON,01/06/2023,693.75
125,SINGLE MALT SCOTCH,08/08/2023,537.12
434,100% AGAVE TEQUILA,01/24/2023,1430.25
260,FLAVORED RUM,07/27/2023,3077.47
434,AMERICAN SCHNAPPS,08/07/2023,3640.63
260,SINGLE MALT SCOTCH,09/08/2023,464.94
130,IMPORTED CORDIALS & LIQUEURS,04/20/2023,3664.95
266,GOLD RUM,03/24/2023,32.50
085,FLAVORED GIN,10/10/2023,98.28
578,AMERICAN DISTILLED SPIRITS SPECIALTY,10/11/2023,2070.32
736,BLENDED WHISKIES,06/27/2023,58.50
421,SINGLE MALT SCOTCH,06/12/2023,138.06
492,BLENDED WHISKIES,05/23/2023,3061.75
421,WHISKEY LIQUEUR,08/22/2023,84480.12
421,COFFEE LIQUEURS,02/23/2023,357.36
479,IMPORTED BRANDIES,03/30/2023,305.76
305,TEMPORARY & SPECIALTY PACKAGES,07/18/2023,381.00
389,IMPORTED BRANDIES,01/10/2023,10157.22
395,STRAIGHT BOURBON WHISKIES,01/23/2023,154.00
482,SCOTCH WHISKIES,09/18/2023,269.91
777,STRAIGHT BOURBON WHISKIES,02/10/2023,105.00
260,IMPORTED SCHNAPPS,07/07/2023,7673.65
673,GOLD RUM,03/06/2023,180.00
297,BLENDED WHISKIES,06/21/2023,3641.37
434,SINGLE BARREL BOURBON WHISKIES,05/24/2023,1935.00
232,BLENDED WHISKIES,07/10/2023,32.51
297,AMERICAN VODKAS,04/25/2023,7680.03
065,SPECIAL ORDER ITEMS,02/14/2023,55.12
065,IMPORTED FLAVORED VODKA,09/14/2023,837.75
273,AMERICAN VODKAS,09/25/2023,112.50
380,SPICED RUM,02/10/2023,180.00
260,WHITE RUM,07/19/2023,839.94
619,IMPORTED CORDIALS & LIQUEURS,05/22/2023,6815.25
421,AMERICAN CORDIALS & LIQUEURS,01/10/2023,5158.46
346,TENNESSEE WHISKIES,05/11/2023,4125.00
568,AMERICAN VODKAS,10/06/2023,179.88
772,AMERICAN CORDIALS & LIQUEURS,09/07/2023,1150.51
065,AMERICAN BRANDIES,03/01/2023,81.00
154,NEUTRAL GRAIN SPIRITS,08/31/2023,239.52
421,STRAIGHT BOURBON WHISKIES,10/16/2023,37899.54
370,AMERICAN DISTILLED SPIRITS SPECIALTY,08/02/2023,2303.25
346,TENNESSEE WHISKIES,08/30/2023,3883.50
